Player,Span,Mat,Inns,Ct,Max,Ct/Inn
SK Raina,2008-2021,205,204,109,3,0.534
V Kohli,2008-2023,237,235,106,3,0.451
KA Pollard,2010-2022,189,189,103,2,0.544
RG Sharma,2008-2023,243,243,98,3,0.403
RA Jadeja,2008-2023,226,225,97,4,0.431
S Dhawan,2008-2023,217,217,96,3,0.442
AB de Villiers,2008-2021,184,130,90,3,0.692
MK Pandey,2008-2023,170,170,81,3,0.476
DA Warner,2009-2023,176,175,81,4,0.462
DJ Bravo,2008-2022,161,160,80,3,0.5
F du Plessis,2012-2023,130,129,73,4,0.565
DA Miller,2012-2023,121,121,70,4,0.578
AM Rahane,2008-2023,172,172,69,2,0.401
HH Pandya,2015-2023,123,123,65,3,0.528
SA Yadav,2012-2023,139,139,64,3,0.46
AR Patel,2014-2023,136,136,59,2,0.433
MA Agarwal,2011-2023,123,122,56,2,0.459
SPD Smith,2012-2021,103,103,53,3,0.514
AT Rayudu,2010-2023,204,184,51,3,0.277
